h	w	p
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
206	361	1
249	354	2
257	346	2
144	342	2
152	337	2
158	332	1
160	331	1
162	331	1
164	331	1
166	331	2
168	330	2
168	330	2
170	328	2
170	328	2
170	328	2
172	328	2
172	328	2
172	328	2
172	328	2
174	328	2
174	328	2
176	328	2
176	328	2
176	328	2
176	328	2
177	328	2
176	328	2
176	328	2
176	328	1
176	328	1
176	328	1
176	328	1
176	328	1
176	328	1
176	328	1
176	328	1
176	328	1
176	328	1
176	328	1
176	327	1
176	327	1
176	327	1
175	327	1
175	327	1
175	327	1
175	327	1
175	327	1
175	327	1
175	327	1
176	327	1
176	327	1
176	327	1
176	327	2
176	327	2
178	327	4
178	327	4
178	327	4
180	327	4
180	327	5
180	327	5
182	327	5
182	327	5
184	327	5
184	327	5
184	327	5
184	327	5
185	327	5
186	327	5
186	327	5
186	327	5
186	327	5
186	327	5
186	327	5
186	327	5
186	327	5
187	327	4
187	327	4
187	327	4
187	327	4
187	327	4
188	327	4
188	327	4
188	327	4
188	327	4
188	327	4
188	327	4
189	327	4
189	327	4
190	326	4
190	326	5
190	326	5
190	326	5
191	324	5
192	324	5
192	324	5
192	324	5
193	324	5
193	324	5
194	324	5
60	536	5
195	323	5
196	322	5
196	322	5
197	321	4
198	321	5
198	321	5
199	321	5
201	319	3
201	319	3
202	319	3
203	319	3
204	319	3
205	319	3
207	319	3
207	319	3
209	319	3
209	319	3
211	319	3
211	319	3
212	319	3
213	319	3
213	319	3
215	319	3
215	319	2
215	321	2
216	321	2
216	322	2
217	322	2
217	322	2
218	323	2
219	322	2
219	322	2
219	323	2
220	323	2
221	322	2
221	322	2
222	322	2
223	322	2
223	322	2
223	322	2
224	322	2
224	322	2
225	322	2
225	322	3
225	322	3
225	323	3
225	323	3
226	323	3
227	323	3
227	323	3
227	323	3
228	323	3
228	323	2
228	323	2
229	323	2
229	323	2
229	323	2
229	323	2
229	323	2
229	323	2
229	323	2
229	323	2
229	323	3
230	322	3
230	322	2
230	322	2
229	322	2
229	322	2
230	321	2
230	321	2
230	321	2
229	321	2
230	319	2
230	319	2
230	319	2
230	319	2
230	319	2
230	319	2
230	319	2
229	319	2
229	319	2
229	319	2
229	319	1
229	319	1
229	319	1
229	319	1
229	319	1
229	319	2
228	319	2
229	319	2
229	319	2
229	319	2
229	319	3
229	318	3
230	317	4
231	315	4
231	315	5
233	313	5
185	224	4
187	225	2
188	225	1
189	225	1
190	225	1
191	226	1
191	227	1
191	227	1
191	227	2
191	227	2
191	227	2
191	227	2
191	227	2
191	227	2
191	228	2
191	228	2
191	228	2
191	228	2
191	228	1
191	228	1
191	228	1
191	228	1
191	228	1
191	228	1
191	228	1
191	228	1
190	228	1
190	228	1
190	228	1
190	228	1
190	228	1
190	228	1
190	228	1
190	229	1
190	229	1
190	229	1
190	229	1
190	229	1
190	229	1
189	229	1
189	229	1
189	230	1
189	231	1
189	231	1
189	232	1
189	232	1
189	233	1
189	233	1
189	234	1
189	234	1
189	234	1
189	234	1
189	234	1
189	235	1
189	236	1
189	236	1
189	236	1
189	236	1
189	237	1
189	237	1
189	237	1
189	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	236	1
190	237	1
190	237	1
190	237	1
190	238	1
190	238	1
190	238	1
190	238	1
190	238	1
190	238	1
190	238	1
190	238	1
190	238	1
190	239	1
190	239	1
191	240	1
191	240	1
191	240	1
191	240	1
191	240	1
191	240	1
192	241	1
192	241	1
192	241	1
192	241	1
192	241	1
192	242	1
192	242	1
192	242	1
192	243	1
192	243	1
192	243	1
192	243	1
192	243	1
192	243	1
192	243	1
192	243	1
191	243	1
191	243	1
191	243	1
191	243	1
191	243	1
191	243	1
191	243	1
191	243	1
191	243	1
191	243	1
190	243	1
190	242	1
189	242	1
189	241	1
188	241	1
188	241	1
187	240	2
187	240	2
187	240	2
114	512	3
112	512	2
110	512	1
108	511	1
106	510	1
104	509	1
104	509	1
104	503	1
104	500	1
106	493	1
104	491	2
104	487	1
106	483	1
106	479	1
106	474	1
106	469	1
106	461	1
106	460	1
106	455	1
106	451	1
106	446	1
106	442	1
104	437	1
104	434	1
104	430	1
104	430	1
104	428	1
102	424	1
102	419	1
102	411	1
104	407	1
104	401	1
104	384	1
106	370	1
108	365	1
110	357	1
110	355	1
112	354	1
112	351	1
114	349	1
116	348	1
116	344	1
116	342	1
118	341	1
118	337	1
120	336	1
118	333	1
118	331	1
118	328	1
118	324	1
118	319	1
118	315	1
120	310	1
120	304	1
120	296	2
120	286	2
120	278	2
120	272	2
120	270	2
120	269	2
120	267	2
120	265	2
120	265	2
120	265	1
118	265	2
118	265	2
118	265	2
116	269	2
114	270	2
114	273	2
112	274	2
112	279	2
192	464	2
196	469	3
198	469	4
106	365	3
106	374	2
106	375	2
106	379	1
106	379	1
104	383	1
104	385	1
104	388	1
102	389	1
102	393	2
102	397	2
102	397	2
100	398	2
100	401	2
98	404	2
98	406	2
96	408	2
94	410	2
94	411	2
94	411	2
92	412	2
90	412	2
