h	w	p
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
196	357	1
188	355	1
170	361	1
176	353	2
174	353	2
172	356	2
174	357	2
172	358	1
168	359	1
164	361	1
162	361	1
160	362	1
158	362	1
156	362	1
156	361	1
156	361	1
156	361	1
154	361	1
154	361	1
154	361	1
154	361	1
154	360	1
156	360	1
156	359	1
156	358	1
156	358	1
156	358	1
158	357	1
158	356	1
158	356	1
158	356	1
159	356	1
160	356	1
160	354	1
160	354	1
160	353	1
162	353	1
162	352	1
162	350	1
162	349	1
163	349	1
164	348	1
164	346	1
165	344	1
166	344	1
166	342	1
168	342	1
168	340	1
168	337	1
168	336	1
170	336	1
170	335	1
172	333	1
173	331	1
174	330	1
174	328	1
176	328	1
176	326	1
178	324	1
180	322	1
180	321	1
182	319	1
182	319	1
184	319	1
184	318	1
186	315	1
187	315	1
188	315	1
190	315	1
191	315	1
193	315	1
195	315	1
196	315	1
197	315	1
199	318	1
200	315	1
202	315	1
204	318	1
206	319	1
207	319	1
208	319	1
210	319	1
211	315	1
212	315	1
213	315	1
215	315	1
217	315	1
218	314	1
219	315	1
219	315	1
221	314	1
222	310	1
223	310	1
224	310	1
224	309	1
225	309	1
226	306	1
227	306	1
229	310	1
229	310	1
231	306	1
232	306	1
233	304	1
235	306	1
235	304	1
237	301	1
239	300	1
239	297	1
241	297	1
241	297	1
243	296	1
245	295	1
247	292	1
249	292	1
251	292	1
253	288	1
255	288	1
257	287	1
259	287	1
261	286	1
263	283	1
265	283	1
265	279	1
267	279	1
267	279	1
269	278	1
269	276	1
271	274	1
271	272	1
273	270	1
273	269	1
275	267	1
275	264	1
277	261	1
277	261	1
277	261	1
279	259	1
279	256	1
279	256	1
279	256	1
281	255	1
281	255	1
281	254	1
281	252	1
281	254	1
281	252	1
280	252	1
281	252	1
281	255	1
281	255	1
281	255	1
281	255	1
281	256	1
281	256	1
281	256	1
281	256	1
283	259	2
283	259	3
285	261	3
285	261	3
287	263	3
289	264	3
291	265	3
293	265	3
295	261	3
297	261	3
299	261	3
299	256	3
301	256	3
301	252	3
301	251	3
301	247	3
301	247	3
301	252	3
301	256	3
301	256	2
176	474	2
176	473	2
177	471	2
177	469	2
177	464	2
178	460	2
178	457	2
178	456	2
179	455	2
179	451	2
180	448	2
180	446	2
180	446	2
180	443	2
181	440	2
181	437	3
182	435	2
182	434	3
182	433	3
182	429	2
182	426	3
182	424	3
182	424	3
182	422	2
182	419	2
182	417	2
182	415	2
182	415	2
182	415	2
182	412	2
182	411	2
182	410	2
182	410	2
182	408	2
182	406	2
182	404	2
184	595	2
184	592	2
184	592	2
184	591	2
184	590	2
184	590	2
183	587	2
184	586	2
183	586	2
183	583	2
183	583	2
182	581	2
183	581	2
182	578	2
182	577	2
182	577	2
182	575	2
182	573	2
182	572	2
182	572	2
182	572	2
184	569	2
184	568	2
185	568	2
185	568	2
185	568	2
186	568	2
186	568	2
186	568	2
186	568	2
185	568	2
185	568	2
185	568	2
184	568	2
184	568	2
184	568	2
183	568	2
182	568	2
182	569	2
180	569	2
179	569	2
178	572	2
178	572	2
178	572	2
178	573	2
178	574	2
179	577	2
179	577	2
179	577	2
180	578	2
179	581	2
179	581	2
179	581	2
180	582	2
179	582	2
180	583	2
180	584	2
180	584	2
180	586	2
180	586	2
179	586	2
179	586	2
179	586	2
179	586	2
178	586	2
178	586	2
178	586	2
179	586	2
178	586	2
178	586	2
178	586	2
178	586	2
175	401	3
175	401	3
175	401	3
175	401	3
175	402	3
174	402	3
174	403	3
174	403	3
174	403	3
179	590	3
179	591	3
179	591	3
236	146	3
236	144	3
236	144	3
235	144	3
235	144	3
235	144	3
235	144	3
235	144	3
235	144	3
236	146	3
236	146	3
236	146	3
236	147	3
237	148	3
237	148	3
236	148	3
236	150	3
236	152	3
236	153	3
236	156	3
236	156	3
236	157	3
236	157	3
237	160	3
237	160	3
237	161	3
237	162	3
237	162	3
237	162	3
238	165	3
239	166	3
239	166	3
239	166	3
239	169	3
239	169	3
240	170	3
240	170	3
240	170	2
240	170	2
240	170	2
240	170	2
240	170	2
240	170	2
240	170	2
240	169	2
240	169	2
240	169	2
240	169	3
239	169	3
239	168	3
239	168	3
239	168	3
239	166	3
239	166	3
239	166	3
239	166	3
239	165	3
239	165	3
239	164	3
239	164	2
239	162	2
240	162	2
240	162	2
241	162	2
241	162	2
241	162	2
241	162	2
242	162	2
243	162	2
243	162	2
243	162	3
243	161	3
242	161	3
242	161	3
242	160	3
241	160	3
242	160	3
243	160	3
172	406	3
173	405	3
174	403	3
174	402	2
174	400	2
176	397	2
178	392	1
186	380	1
208	366	1
206	365	1
206	364	1
206	363	1
205	363	1
204	362	1
202	362	1
200	362	1
200	361	1
198	362	1
196	362	1
196	362	1
194	362	1
194	363	1
192	363	1
192	364	1
192	364	1
192	365	1
192	365	1
192	365	1
192	366	1
192	366	1
194	366	1
194	367	1
196	367	1
196	368	1
196	368	1
198	368	1
198	369	1
196	369	1
196	370	1
196	370	1
196	370	1
196	370	1
196	370	1
196	370	1
194	371	1
194	371	1
194	371	1
192	371	1
192	371	1
192	371	1
192	371	1
192	371	1
192	371	1
190	372	1
190	372	1
190	372	1
188	372	1
188	372	1
186	373	1
186	373	1
184	373	1
184	372	1
184	372	1
184	372	1
186	372	1
188	372	1
192	372	1
192	371	1
194	372	1
196	372	1
198	372	1
198	372	1
198	372	1
198	372	1
200	372	1
200	372	1
202	372	1
202	372	1
202	372	1
202	372	1
202	372	1
200	372	1
198	373	1
196	374	1
196	374	1
192	374	1
190	375	1
186	376	1
184	377	1
180	379	1
