h	w	p
215	359	1
217	366	1
205	406	1
202	412	1
205	416	1
201	415	2
201	415	3
126	313	3
126	310	3
126	308	1
126	306	1
126	305	1
128	305	1
128	304	1
130	303	1
132	301	1
132	299	1
132	297	1
134	297	1
134	297	1
136	297	1
136	296	1
138	296	1
138	295	1
138	292	1
140	292	1
140	292	1
140	292	1
140	291	1
140	291	1
140	290	1
140	290	1
140	290	1
140	290	1
140	290	1
140	288	1
140	288	1
140	288	1
140	290	1
140	291	1
140	290	1
142	292	1
142	292	1
142	294	1
142	295	1
142	296	1
142	297	1
142	299	1
142	300	1
142	301	1
142	303	1
142	304	1
142	306	1
142	306	1
142	308	1
142	308	1
142	310	1
142	312	1
142	313	1
142	313	1
142	313	1
142	313	1
142	314	1
142	314	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	313	1
144	312	1
144	313	1
144	313	1
144	312	1
144	312	1
144	310	1
144	310	1
144	310	1
144	310	1
144	310	1
144	309	1
144	308	1
144	308	1
144	306	1
144	306	1
144	306	1
144	306	1
144	306	1
144	306	1
146	306	1
146	306	1
146	306	1
146	306	1
146	306	1
146	305	1
146	306	1
146	306	1
146	306	1
146	306	1
148	306	1
148	306	1
148	306	1
148	306	1
148	306	1
150	306	1
152	306	1
152	306	1
152	305	1
152	306	1
152	305	1
152	305	1
152	305	1
150	305	1
150	305	1
148	305	1
144	306	1
144	306	1
142	306	1
142	306	1
142	306	1
140	309	1
138	310	1
136	310	1
136	312	1
136	313	1
136	313	1
136	314	1
136	314	1
136	315	1
136	315	1
138	315	1
140	315	1
140	317	1
140	317	1
142	318	1
142	319	1
142	319	1
142	319	1
140	321	1
140	322	1
140	322	1
142	323	1
142	324	1
142	324	1
140	324	1
140	324	1
140	326	1
140	327	1
140	327	1
142	328	1
142	327	1
142	328	1
142	328	1
142	328	1
144	327	1
144	326	1
144	326	1
144	326	1
144	326	1
144	326	1
146	324	1
146	324	1
146	324	1
146	324	1
146	323	1
146	321	1
146	321	1
146	321	1
146	319	1
148	319	1
146	319	1
146	319	1
146	318	1
148	318	1
148	318	1
146	318	1
142	318	1
144	317	2
144	315	2
166	446	2
166	433	1
166	424	1
166	419	1
166	419	1
164	416	1
164	415	1
164	415	1
164	415	1
164	415	1
164	415	1
164	415	1
164	415	1
162	415	1
162	415	1
162	415	1
162	415	1
162	416	1
162	416	1
164	416	1
164	419	1
164	419	1
164	419	1
164	419	1
164	420	1
162	420	1
162	421	1
162	424	1
162	424	1
162	425	1
162	426	1
162	428	1
162	428	1
160	428	1
160	428	1
160	428	1
160	428	1
160	429	1
160	429	1
160	429	1
160	430	1
160	430	1
160	430	1
160	430	1
160	430	1
160	431	1
160	431	1
160	431	1
160	433	1
160	433	1
160	433	1
160	434	1
162	437	1
162	437	1
162	438	1
160	439	1
160	442	1
160	442	1
160	446	1
160	446	1
158	447	1
158	448	1
160	451	1
160	451	1
160	451	1
160	451	1
160	452	1
160	455	1
160	455	1
160	456	1
160	457	1
162	460	1
166	460	1
168	464	1
168	464	1
168	464	1
170	464	2
172	465	2
170	466	2
170	466	2
170	466	2
168	465	2
170	464	2
170	461	2
168	460	2
166	460	2
164	456	2
166	451	2
164	446	2
166	447	2
168	446	2
166	443	2
166	439	2
168	438	1
166	437	1
166	437	1
164	434	1
164	433	1
164	430	1
162	429	1
162	428	1
160	428	1
162	428	1
160	428	1
158	428	1
158	428	1
158	429	1
158	429	1
160	433	1
162	438	1
164	442	1
166	446	2
170	446	2
172	447	2
172	451	2
172	452	2
174	455	2
176	456	2
174	456	2
174	457	1
176	460	1
176	460	1
176	460	2
176	460	2
178	460	2
178	460	2
180	460	2
182	460	2
182	460	2
182	458	2
182	456	2
182	455	2
180	451	2
180	451	2
180	451	1
180	448	1
180	447	1
180	446	1
182	447	1
182	447	1
180	446	1
180	446	1
180	446	1
178	446	1
176	447	1
176	447	1
176	447	1
176	447	1
176	447	1
176	447	1
176	447	1
176	446	1
175	446	1
174	446	1
172	446	1
172	444	1
170	443	1
172	442	1
170	438	1
168	437	1
168	437	1
166	434	1
166	433	1
162	428	1
160	428	1
160	428	1
158	424	1
158	424	1
158	421	1
156	419	1
156	419	1
154	419	1
156	419	1
154	419	1
150	419	1
150	419	1
148	419	1
150	419	1
148	419	1
146	420	1
146	424	1
148	428	1
150	429	1
154	437	1
156	438	1
158	442	1
160	446	1
162	448	2
164	451	2
164	452	2
166	455	2
168	457	2
172	460	2
174	460	2
174	460	1
176	462	1
178	464	1
180	465	1
180	466	1
182	466	1
184	469	1
186	469	1
190	470	1
190	473	1
190	473	1
194	473	2
198	473	2
202	473	2
152	288	2
150	288	2
150	287	2
150	287	1
