h	w	p
215	359	1
210	355	1
192	337	1
178	324	1
172	330	1
160	333	1
154	337	1
150	339	1
148	340	1
146	340	1
146	341	1
144	342	1
144	342	1
144	343	1
144	344	1
142	344	1
142	344	1
142	345	1
142	345	1
142	345	1
142	346	1
142	347	1
140	347	2
140	348	2
140	349	2
140	349	2
140	350	2
140	350	2
140	350	2
140	349	2
140	349	2
140	348	2
140	347	2
140	346	2
140	346	2
140	345	3
142	344	3
142	342	3
142	342	3
142	341	3
142	340	3
144	339	2
144	339	2
144	338	2
144	337	2
144	337	2
144	337	2
146	337	2
146	337	2
148	337	2
148	337	3
150	337	3
152	337	3
156	337	3
158	337	3
160	337	3
162	336	2
164	336	2
166	336	2
168	335	3
164	211	3
172	333	3
174	332	3
176	331	3
178	330	4
178	330	4
178	330	4
178	330	4
178	330	4
178	330	4
178	330	3
178	330	4
178	330	3
178	330	3
178	330	3
179	330	3
179	330	3
179	330	3
179	330	3
179	330	3
179	330	3
179	330	3
179	330	3
179	330	3
179	328	3
179	328	3
179	328	3
180	328	3
180	328	3
179	328	3
179	328	3
179	328	3
179	328	3
179	328	3
179	328	3
179	328	3
179	328	3
179	328	3
179	328	3
179	327	3
179	327	3
179	327	3
180	327	3
180	327	3
179	327	3
179	327	3
179	327	3
180	327	3
180	327	3
180	327	3
179	328	4
178	328	4
178	328	4
166	388	4
166	388	1
166	386	1
166	386	1
164	385	1
164	385	1
164	384	1
162	383	1
162	383	1
162	381	1
160	380	1
160	380	1
160	379	1
160	379	1
158	377	1
158	378	1
158	377	1
158	377	1
158	376	1
156	375	1
156	375	1
154	375	1
152	375	1
152	375	1
152	375	1
152	375	1
152	375	1
150	374	1
150	375	1
150	375	1
150	375	1
150	374	1
148	374	1
148	374	1
148	375	1
148	375	1
148	375	1
150	375	1
150	375	1
150	375	1
150	375	1
152	375	1
152	375	1
152	375	1
156	376	1
158	376	1
160	377	1
164	378	1
168	379	1
172	379	1
176	379	1
178	379	1
182	379	1
186	379	1
188	379	1
192	379	1
196	379	1
200	379	1
204	377	1
207	376	1
207	376	1
207	376	1
206	376	1
206	376	1
206	375	1
206	375	1
205	375	1
204	374	1
204	374	1
203	374	1
202	374	1
202	374	1
202	374	1
201	374	1
200	374	1
200	374	1
200	374	1
200	374	1
200	374	1
200	374	1
200	374	1
200	375	1
200	375	1
201	375	1
200	374	1
198	374	1
196	374	1
194	370	1
182	420	2
178	428	2
176	431	1
176	433	1
176	434	1
176	435	1
174	437	1
174	437	1
174	437	1
174	437	1
175	437	1
176	437	1
178	434	1
180	433	1
184	429	1
186	426	1
188	424	1
192	420	1
193	419	1
195	415	1
197	415	1
199	411	1
201	410	1
203	408	1
204	406	1
205	406	1
207	403	1
208	402	1
209	401	1
211	401	1
213	401	1
215	402	1
217	404	1
217	406	1
219	410	1
221	410	1
221	411	1
223	415	1
223	415	1
223	415	1
225	415	1
225	415	1
225	415	1
225	415	1
225	415	1
225	415	1
225	415	1
225	415	1
225	415	1
225	415	1
225	415	1
223	415	1
215	412	1
213	411	1
211	411	1
211	410	1
213	410	1
213	410	1
213	410	1
213	410	1
213	410	1
215	410	1
215	410	1
215	410	1
215	410	1
215	407	1
215	407	1
215	406	1
215	406	1
215	406	1
215	406	1
213	406	1
213	404	1
213	403	1
213	403	1
213	402	1
213	401	1
213	401	1
213	401	1
214	401	1
215	401	1
215	401	1
215	401	1
217	401	1
219	401	1
219	401	1
219	401	1
219	401	1
217	401	1
217	401	1
217	401	1
217	401	1
217	402	1
217	402	1
217	402	1
217	402	1
217	402	1
219	402	1
219	402	1
219	402	1
217	401	1
217	401	1
219	401	1
221	401	1
223	401	1
225	401	1
229	401	1
231	398	1
233	397	1
233	397	1
233	397	1
231	394	1
231	393	1
231	392	1
231	392	1
231	388	1
233	388	1
233	383	1
233	383	1
233	379	1
233	379	1
233	375	1
233	374	1
233	372	1
233	370	1
233	368	1
233	366	1
233	365	1
233	364	1
233	362	1
235	361	1
235	360	1
235	360	1
235	359	1
235	358	1
233	358	1
233	357	1
233	356	1
233	355	1
231	354	1
231	353	1
231	351	1
231	351	1
231	350	1
230	349	1
229	346	1
229	346	1
228	346	1
227	346	1
227	345	1
227	345	1
227	345	1
227	346	1
227	346	1
227	346	1
227	346	1
226	346	1
225	346	1
226	348	1
225	349	1
225	349	1
225	349	1
225	346	1
224	346	1
223	346	1
221	346	1
217	342	1
215	342	1
209	342	1
178	332	1
174	333	1
172	333	1
172	337	1
168	337	1
166	337	1
164	336	1
186	348	1
188	351	1
192	354	1
194	355	1
196	357	1
198	358	1
200	358	1
200	357	1
202	357	1
207	356	1
210	355	1
212	354	1
213	352	1
215	351	1
216	351	1
217	350	1
219	349	1
219	348	1
219	346	1
219	346	1
219	345	1
220	345	1
221	345	1
223	345	1
223	344	1
223	342	1
223	344	1
223	344	1
223	344	1
222	342	1
222	342	1
222	342	1
223	344	1
223	344	1
223	344	1
224	344	1
225	344	1
225	342	1
225	342	1
225	342	1
226	342	1
226	342	1
227	342	1
227	342	1
227	342	1
227	342	1
227	341	1
227	341	1
228	340	1
229	340	1
229	340	1
229	337	1
229	337	1
229	337	1
230	340	1
230	340	1
230	340	1
231	340	1
229	340	1
229	340	1
229	340	1
229	341	1
229	340	1
229	341	1
229	341	1
230	341	1
231	342	1
231	342	1
229	342	1
229	342	1
231	342	1
231	342	1
231	342	1
231	342	1
231	344	1
233	345	1
233	345	1
233	345	1
235	345	1
237	345	1
237	345	1
237	345	1
237	345	1
237	345	1
239	345	1
239	345	1
239	344	1
239	344	1
239	342	1
239	342	1
239	342	1
239	342	1
239	342	1
239	342	1
237	342	1
237	342	1
237	342	1
235	342	1
235	342	1
233	342	1
233	342	1
231	342	1
231	342	1
231	342	1
229	342	1
229	342	1
229	342	1
229	342	1
229	342	1
227	342	1
227	342	1
227	342	1
227	342	1
227	342	1
227	342	1
227	342	1
227	344	1
227	345	1
229	345	1
229	346	1
229	346	1
229	346	1
229	346	1
231	349	1
231	350	1
231	350	1
231	351	1
231	351	1
231	353	1
231	354	1
233	355	1
233	356	1
233	357	1
233	358	1
233	359	1
233	361	1
233	362	1
231	363	1
231	365	1
231	365	1
231	366	1
229	368	1
227	370	1
227	371	1
225	371	1
224	371	1
223	371	1
222	371	1
220	371	1
218	371	1
217	371	1
214	371	1
213	370	1
212	370	1
212	371	2
130	375	2
128	374	2
