onset	duration	onset_frame
0.000	2.636	1
2.636	1.535	80
4.171	7.274	126
11.445	2.035	344
13.481	1.735	405
15.216	7.074	457
22.290	5.205	669
27.496	2.102	825
29.598	3.003	888
32.601	3.237	978
35.838	2.836	1075
38.674	1.769	1160
40.443	2.903	1213
43.346	8.576	1300
51.921	8.642	1557
60.564	5.205	1816
65.769	3.837	1972
69.607	1.602	2087
71.208	4.805	2135
76.013	1.335	2279
77.348	1.235	2319
78.583	2.035	2356
80.618	1.135	2417
81.753	1.201	2451
82.954	2.903	2487
85.857	2.269	2574
88.126	4.772	2642
92.898	10.378	2785
103.275	17.385	3096
120.660	10.845	3617
131.505	6.407	3942
137.912	1.435	4134
139.347	8.743	4177
148.089	7.508	4439
155.597	1.435	4664
157.032	1.168	4707
158.200	4.104	4742
162.304	4.204	4865
166.508	2.169	4991
168.677	2.503	5056
171.180	1.468	5131
172.648	6.173	5175
178.821	2.503	5360
181.324	2.503	5435
183.827	4.905	5510
188.732	9.677	5657
198.409	7.107	5947
205.516	2.302	6160
207.819	6.740	6229
214.559	2.469	6431
217.028	1.635	6505
218.663	6.740	6554
225.404	1.769	6756
227.172	1.502	6809
228.674	1.268	6854
229.942	1.635	6892
231.577	4.171	6941
235.748	4.438	7066
240.186	1.935	7199
242.121	1.235	7257
243.356	4.004	7294
247.360	3.103	7414
250.463	2.569	7507
253.033	1.702	7584
254.735	0.968	7635
255.702	4.905	7664
260.607	1.468	7811
262.076	2.069	7855
264.144	0.801	7917
264.945	1.001	7941
265.946	1.135	7971
267.081	2.169	8005
269.250	1.135	8070
270.384	4.705	8104
275.089	1.568	8245
276.658	4.271	8292
280.929	4.571	8420
285.500	3.504	8557
289.004	3.837	8662
292.841	5.172	8777
298.013	8.509	8932
306.522	5.172	9187
311.694	0.901	9342
312.595	1.435	9369
314.030	1.235	9412
315.265	2.569	9449
317.834	1.435	9526
319.269	2.202	9569
321.471	2.970	9635
324.441	3.370	9724
327.811	1.835	9825
329.647	3.604	9880
333.250	8.442	9988
341.693	6.974	10241
348.667	7.875	10450
356.542	7.975	10686
364.517	2.836	10925
367.353	2.936	11010
370.289	1.502	11098
371.791	6.740	11143
378.531	7.608	11345
386.139	2.703	11573
388.842	3.070	11654
391.912	1.735	11746
393.647	1.201	11798
394.849	2.736	11834
397.585	2.002	11916
399.587	1.001	11976
400.588	1.668	12006
402.256	0.634	12056
402.890	1.101	12075
403.991	5.739	12108
409.731	1.835	12280
411.566	1.368	12335
412.934	1.802	12376
414.736	7.641	12430
422.377	1.401	12659
423.779	6.307	12701
430.086	1.168	12890
431.253	2.436	12925
433.689	2.202	12998
435.892	1.468	13064
437.360	2.870	13108
440.230	1.068	13194
441.297	5.339	13226
446.636	4.238	13386
450.874	1.168	13513
452.042	6.941	13548
458.983	3.804	13756
462.787	2.002	13870
464.789	10.111	13930
474.899	1.735	14233
476.635	1.335	14285
477.969	7.708	14325
485.677	1.902	14556
487.579	0.701	14613
488.280	3.804	14634
492.084	6.674	14748
498.758	1.368	14948
500.126	2.836	14989
502.962	1.802	15074
504.764	3.103	15128
507.867	2.069	15221
509.936	12.413	15283
522.349	5.873	15655
528.222	5.673	15831
533.895	11.579	16001
545.474	1.502	16348
546.975	10.745	16393
557.720	6.373	16715
564.093	16.517	16906
580.611	6.240	17401
586.850	2.936	17588
589.787	6.640	17676
596.427	4.605	17875
601.032	4.939	18013
605.971	1.135	18161
607.105	2.536	18195
609.641	11.145	18271
620.786	6.473	18605
627.260	1.468	18799
628.728	8.609	18843
637.337	4.004	19101
641.341	7.942	19221
649.283	2.836	19459
652.119	2.436	19544
654.555	1.735	19617
656.290	2.636	19669
658.926	9.877	19748
668.803	2.269	20044
671.072	7.541	20112
678.614	7.675	20338
686.288	5.105	20568
691.394	14.549	20721
