onset	duration	onset_frame
0.000	1.034	1
1.034	11.412	32
12.446	2.536	374
14.982	8.509	450
23.491	5.339	705
28.830	4.471	865
33.302	5.272	999
38.574	18.286	1157
56.860	2.302	1705
59.162	3.037	1774
62.199	9.710	1865
71.909	2.803	2156
74.712	10.945	2240
85.657	4.571	2568
90.228	2.169	2705
92.397	3.671	2770
96.068	4.071	2880
100.139	3.771	3002
103.909	6.006	3115
109.916	3.871	3295
113.786	1.368	3411
115.154	2.636	3452
117.791	6.841	3531
124.631	2.436	3736
127.067	4.605	3809
131.672	1.802	3947
133.474	3.070	4001
136.544	3.103	4093
139.647	7.942	4186
147.589	2.269	4424
149.858	4.371	4492
154.229	5.539	4623
159.768	3.237	4789
163.005	4.405	4886
167.409	14.315	5018
181.724	6.740	5447
188.465	4.471	5649
192.936	3.537	5783
196.473	1.802	5889
198.275	1.869	5943
200.144	7.007	5999
207.151	1.068	6209
208.219	1.401	6241
209.620	4.939	6283
214.559	1.568	6431
216.127	2.569	6478
218.697	5.139	6555
223.835	7.875	6709
231.710	4.872	6945
236.582	1.502	7091
238.084	5.573	7136
243.656	5.739	7303
249.396	13.614	7475
263.010	2.736	7883
265.746	1.401	7965
267.148	1.935	8007
269.083	2.369	8065
271.452	11.078	8136
282.530	9.310	8468
291.840	19.687	8747
311.528	5.439	9337
316.967	1.902	9500
318.869	3.504	9557
322.372	2.102	9662
324.475	5.973	9725
330.447	2.369	9904
332.817	5.139	9975
337.955	6.841	10129
344.796	7.341	10334
352.137	7.341	10554
359.478	3.103	10774
362.581	1.835	10867
364.417	1.935	10922
366.352	5.172	10980
371.524	3.737	11135
375.261	3.737	11247
378.999	2.436	11359
381.434	6.574	11432
388.008	2.102	11629
390.110	6.407	11692
396.517	0.968	11884
397.485	4.138	11913
401.622	5.039	12037
406.661	6.373	12188
413.034	4.872	12379
417.906	13.314	12525
431.220	7.708	12924
438.928	2.336	13155
441.264	3.771	13225
445.035	2.936	13338
447.971	2.469	13426
450.440	4.738	13500
455.179	3.337	13642
458.515	10.978	13742
469.494	3.570	14071
473.064	11.512	14178
484.576	5.439	14523
490.015	13.447	14686
503.463	5.005	15089
508.468	5.839	15239
514.307	4.738	15414
519.046	11.178	15556
530.224	3.237	15891
533.461	5.306	15988
538.767	1.235	16147
540.001	1.869	16184
541.870	0.968	16240
542.837	2.603	16269
545.440	3.404	16347
548.844	12.980	16449
561.824	3.904	16838
565.728	9.443	16955
575.171	9.009	17238
584.181	1.668	17508
585.849	5.339	17558
591.188	3.504	17718
594.692	4.505	17823
599.197	19.521	17958
618.717	3.804	18543
622.521	3.504	18657
626.025	5.573	18762
631.597	12.914	18929
644.511	2.903	19316
647.414	2.035	19403
649.450	5.406	19464
654.855	3.837	19626
658.693	2.503	19741
661.195	1.401	19816
662.597	2.469	19858
665.066	7.575	19932
672.641	4.204	20159
676.845	16.684	20285
