onset	duration	onset_frame
0.000	6.040	1
6.040	61.999	182
68.038	14.982	2040
83.021	7.174	2489
90.195	1.635	2704
91.830	9.310	2753
101.140	12.146	3032
113.286	1.969	3396
115.255	4.705	3455
119.959	6.273	3596
126.233	5.973	3784
132.206	1.969	3963
134.174	3.837	4022
138.012	2.002	4137
140.014	3.771	4197
143.785	6.774	4310
150.558	2.302	4513
152.861	12.346	4582
165.207	3.570	4952
168.777	2.002	5059
170.780	4.872	5119
175.651	3.937	5265
179.589	4.672	5383
184.260	7.675	5523
191.935	4.805	5753
196.740	6.841	5897
203.581	5.406	6102
208.986	1.068	6264
210.054	12.947	6296
223.001	3.070	6684
226.071	1.769	6776
227.840	1.368	6829
229.208	3.637	6870
232.845	2.202	6979
235.047	1.835	7045
236.882	5.339	7100
242.221	3.704	7260
245.925	3.437	7371
249.362	8.375	7474
257.738	5.172	7725
262.910	3.337	7880
266.247	11.979	7980
278.226	2.903	8339
281.129	9.176	8426
290.305	4.204	8701
294.510	3.937	8827
298.447	2.436	8945
300.883	4.772	9018
305.655	3.070	9161
308.725	2.436	9253
311.161	10.044	9326
321.204	2.703	9627
323.907	11.579	9708
335.486	6.707	10055
342.193	11.178	10256
353.372	2.669	10591
356.041	3.637	10671
359.678	2.870	10780
362.548	12.747	10866
375.295	1.835	11248
377.130	7.141	11303
384.271	2.870	11517
387.140	2.002	11603
389.143	8.075	11663
397.218	5.573	11905
402.790	5.606	12072
408.396	1.702	12240
410.098	4.705	12291
414.803	1.602	12432
416.405	5.039	12480
421.443	4.738	12631
426.181	3.637	12773
429.819	1.735	12882
431.554	2.169	12934
433.723	8.442	12999
442.165	4.338	13252
446.503	5.973	13382
452.476	2.436	13561
454.912	2.903	13634
457.815	11.412	13721
469.227	5.773	14063
474.999	3.470	14236
478.470	1.702	14340
480.172	1.268	14391
481.440	1.602	14429
483.041	6.740	14477
489.782	6.140	14679
495.921	1.568	14863
497.490	1.301	14910
498.791	2.469	14949
501.260	1.335	15023
502.595	1.368	15063
503.963	4.071	15104
508.034	14.816	15226
522.850	9.844	15670
532.693	7.842	15965
540.535	2.469	16200
543.004	1.568	16274
544.573	10.211	16321
554.783	2.069	16627
556.852	6.273	16689
563.125	4.338	16877
567.463	5.239	17007
572.702	1.268	17164
573.970	2.870	17202
576.840	2.436	17288
579.276	2.603	17361
581.879	5.973	17439
587.851	2.269	17618
590.121	1.335	17686
591.455	3.937	17726
595.393	5.339	17844
600.732	1.502	18004
602.233	5.172	18049
607.405	3.671	18204
611.076	2.503	18314
613.579	10.277	18389
623.856	2.503	18697
626.359	1.835	18772
628.194	8.476	18827
636.669	4.672	19081
641.341	2.336	19221
643.677	2.970	19291
646.647	3.671	19380
650.317	2.035	19490
652.353	4.738	19551
657.091	6.106	19693
663.197	2.736	19876
665.934	3.103	19958
669.037	2.803	20051
671.840	3.604	20135
675.444	1.735	20243
677.179	11.779	20295
688.958	6.574	20648
