onset	duration	onset_frame
0.000	1.635	1
1.635	5.339	50
6.974	8.342	210
15.316	14.715	460
30.032	1.568	901
31.600	12.346	948
43.946	4.171	1318
48.117	5.072	1443
53.189	1.535	1595
54.724	10.511	1641
65.235	3.137	1956
68.372	1.902	2050
70.274	3.270	2107
73.544	5.439	2205
78.983	5.806	2368
84.789	4.104	2542
88.893	1.969	2665
90.862	12.680	2724
103.542	1.201	3104
104.743	1.168	3140
105.911	4.138	3175
110.049	1.869	3299
111.918	5.472	3355
117.390	2.903	3519
120.293	8.309	3606
128.602	5.172	3855
133.774	2.736	4010
136.510	2.770	4092
139.280	7.975	4175
147.255	4.071	4414
151.326	6.240	4536
157.566	5.339	4723
162.905	6.507	4883
169.411	2.970	5078
172.381	2.936	5167
175.318	2.503	5255
177.820	5.606	5330
183.426	6.774	5498
190.200	3.737	5701
193.937	9.910	5813
203.848	5.573	6110
209.420	3.237	6277
212.657	8.275	6374
220.932	6.807	6622
227.739	5.472	6826
233.212	1.702	6990
234.914	2.569	7041
237.483	1.902	7118
239.385	4.672	7175
244.057	4.505	7315
248.561	2.936	7450
251.498	1.034	7538
252.532	6.173	7569
258.705	7.074	7754
265.779	1.101	7966
266.881	9.643	7999
276.524	1.635	8288
278.159	7.274	8337
285.433	8.042	8555
293.475	1.835	8796
295.311	3.637	8851
298.948	8.509	8960
307.457	2.803	9215
310.260	9.410	9299
319.669	7.241	9581
326.910	3.370	9798
330.281	2.469	9899
332.750	1.902	9973
334.652	2.236	10030
336.888	4.071	10097
340.959	1.668	10219
342.627	11.345	10269
353.972	2.603	10609
356.575	2.569	10687
359.144	2.870	10764
362.014	4.672	10850
366.686	14.415	10990
381.101	10.711	11422
391.812	6.540	11743
398.352	16.384	11939
414.736	2.202	12430
416.938	4.371	12496
421.310	5.139	12627
426.448	2.369	12781
428.818	1.201	12852
430.019	6.473	12888
436.492	1.769	13082
438.261	3.771	13135
442.031	4.438	13248
446.469	1.802	13381
448.271	3.404	13435
451.675	1.602	13537
453.277	6.674	13585
459.950	1.935	13785
461.886	2.970	13843
464.855	3.804	13932
468.659	2.703	14046
471.362	3.604	14127
474.966	3.037	14235
478.003	5.172	14326
483.175	3.771	14481
486.945	11.279	14594
498.224	2.403	14932
500.626	4.972	15004
505.598	9.877	15153
515.475	16.184	15449
531.659	2.736	15934
534.395	5.506	16016
539.901	5.205	16181
545.107	2.002	16337
547.109	27.062	16397
574.170	8.075	17208
582.246	3.437	17450
585.683	3.203	17553
588.886	3.370	17649
592.256	3.070	17750
595.326	2.336	17842
597.662	3.037	17912
600.698	13.648	18003
614.346	14.048	18412
628.394	2.870	18833
631.264	1.502	18919
632.765	3.470	18964
636.236	5.806	19068
642.042	2.369	19242
644.411	3.270	19313
647.681	5.072	19411
652.753	22.190	19563
