onset	duration	onset_frame
0.000	0.133	1
0.133	4.071	5
4.204	4.538	127
8.743	5.039	263
13.781	2.970	414
16.751	4.405	503
21.156	3.937	635
25.093	3.370	753
28.463	5.272	854
33.735	6.607	1012
40.342	9.910	1210
50.253	7.541	1507
57.794	4.104	1733
61.898	4.338	1856
66.236	25.227	1986
91.463	3.370	2742
94.833	2.369	2843
97.202	2.269	2914
99.471	3.270	2982
102.741	2.403	3080
105.144	2.936	3152
108.080	2.136	3240
110.216	5.172	3304
115.388	2.136	3459
117.524	7.808	3523
125.332	1.702	3757
127.034	4.138	3808
131.171	1.835	3932
133.007	6.140	3987
139.146	6.207	4171
145.353	0.968	4357
146.321	2.970	4386
149.290	3.270	4475
152.560	2.102	4573
154.663	1.902	4636
156.565	2.102	4693
158.667	5.205	4756
163.872	6.841	4912
170.713	1.502	5117
172.214	4.672	5162
176.886	2.669	5302
179.555	1.568	5382
181.124	5.773	5429
186.897	1.668	5602
188.565	1.635	5652
190.200	9.577	5701
199.777	15.450	5988
215.226	10.077	6451
225.304	10.611	6753
235.915	4.838	7071
240.753	6.707	7216
247.460	1.301	7417
248.762	3.537	7456
252.299	5.205	7562
257.504	1.735	7718
259.239	4.204	7770
263.444	3.337	7896
266.781	2.169	7996
268.949	2.569	8061
271.519	3.704	8138
275.223	4.004	8249
279.227	2.669	8369
281.896	2.136	8449
284.032	5.739	8513
289.771	7.241	8685
297.012	2.002	8902
299.014	7.842	8962
306.856	3.037	9197
309.893	4.071	9288
313.963	3.370	9410
317.334	1.368	9511
318.702	3.337	9552
322.039	2.970	9652
325.008	4.738	9741
329.747	3.003	9883
332.750	1.368	9973
334.118	11.045	10014
345.163	3.504	10345
348.667	6.073	10450
354.740	5.039	10632
359.778	2.603	10783
362.381	1.602	10861
363.983	0.834	10909
364.817	6.440	10934
371.257	14.982	11127
386.239	2.836	11576
389.076	6.507	11661
395.583	1.201	11856
396.784	3.504	11892
400.288	1.301	11997
401.589	1.101	12036
402.690	4.438	12069
407.128	1.969	12202
409.097	2.603	12261
411.700	5.639	12339
417.339	1.468	12508
418.807	3.370	12552
422.177	2.202	12653
424.380	4.972	12719
429.351	3.103	12868
432.455	3.437	12961
435.892	7.241	13064
443.133	5.005	13281
448.138	3.604	13431
451.742	5.139	13539
456.880	5.439	13693
462.319	3.037	13856
465.356	2.336	13947
467.692	9.243	14017
476.935	7.942	14294
484.877	7.107	14532
491.984	1.668	14745
493.652	16.451	14795
510.103	6.373	15288
516.476	8.109	15479
524.585	6.073	15722
530.658	17.952	15904
548.610	1.401	16442
550.012	4.038	16484
554.049	3.537	16605
557.586	4.071	16711
561.657	3.303	16833
564.961	4.104	16932
569.065	6.173	17055
575.238	5.639	17240
580.877	3.437	17409
584.314	8.175	17512
592.490	2.002	17757
594.492	2.803	17817
597.295	1.602	17901
598.896	2.503	17949
601.399	2.436	18024
603.835	6.106	18097
609.941	5.839	18280
615.781	4.939	18455
620.719	3.504	18603
624.223	5.573	18708
629.796	1.702	18875
631.497	2.770	18926
634.267	2.703	19009
636.970	4.371	19090
641.341	2.169	19221
643.510	5.272	19286
648.782	4.872	19444
653.654	3.404	19590
657.058	2.269	19692
659.327	7.107	19760
666.434	1.135	19973
667.569	5.906	20007
673.475	2.369	20184
675.844	1.235	20255
677.079	1.769	20292
678.847	2.970	20345
681.817	2.669	20434
684.486	19.888	20514
704.374	6.273	21110
710.647	8.342	21298
718.989	17.819	21548
736.808	2.069	22082
738.877	11.445	22144
