onset	duration	onset_frame
0.000	0.667	1
0.667	46.849	21
47.517	8.476	1425
55.992	2.069	1679
58.061	5.940	1741
64.001	1.468	1919
65.469	3.637	1963
69.106	4.772	2072
73.878	1.935	2215
75.813	4.371	2273
80.184	1.301	2404
81.486	3.904	2443
85.390	3.671	2560
89.060	2.936	2670
91.997	10.778	2758
102.775	5.606	3081
108.381	0.801	3249
109.181	15.283	3273
124.464	10.678	3731
135.142	6.207	4051
141.349	7.208	4237
148.556	3.203	4453
151.760	3.203	4549
154.963	3.671	4645
158.633	9.910	4755
168.544	6.340	5052
174.884	14.882	5242
189.766	3.837	5688
193.604	1.769	5803
195.372	4.471	5856
199.843	1.268	5990
201.111	4.204	6028
205.316	1.368	6154
206.684	1.735	6195
208.419	3.771	6247
212.190	1.468	6360
213.658	18.920	6404
232.578	6.340	6971
238.918	3.704	7161
242.622	6.574	7272
249.195	3.771	7469
252.966	3.137	7582
256.103	2.703	7676
258.805	2.503	7757
261.308	3.570	7832
264.879	4.405	7939
269.283	1.368	8071
270.651	1.802	8112
272.453	2.069	8166
274.522	2.669	8228
277.191	6.307	8308
283.498	2.603	8497
286.101	5.272	8575
291.373	4.104	8733
295.477	3.337	8856
298.814	2.236	8956
301.050	3.070	9023
304.120	1.668	9115
305.788	3.404	9165
309.192	4.939	9267
314.130	1.034	9415
315.165	4.438	9446
319.603	1.769	9579
321.371	3.203	9632
324.575	1.401	9728
325.976	3.837	9770
329.813	11.145	9885
340.959	3.103	10219
344.062	1.702	10312
345.764	2.269	10363
348.033	5.706	10431
353.739	5.339	10602
359.078	1.969	10762
361.046	2.603	10821
363.649	4.838	10899
368.487	2.603	11044
371.090	4.605	11122
375.695	3.437	11260
379.132	4.805	11363
383.937	3.270	11507
387.207	3.137	11605
390.344	5.639	11699
395.983	3.504	11868
399.487	3.070	11973
402.557	2.469	12065
405.026	3.337	12139
408.363	2.035	12239
410.398	8.476	12300
418.874	2.970	12554
421.844	22.157	12643
444.000	3.003	13307
447.003	4.805	13397
451.808	2.636	13541
454.445	2.569	13620
457.014	5.639	13697
462.653	9.243	13866
471.896	2.035	14143
473.932	2.236	14204
476.167	7.041	14271
483.208	7.975	14482
491.183	1.769	14721
492.952	2.569	14774
495.521	2.102	14851
497.623	1.201	14914
498.825	1.568	14950
500.393	12.146	14997
512.539	2.669	15361
515.208	3.704	15441
518.912	2.636	15552
521.548	15.850	15631
537.398	2.169	16106
539.567	2.669	16171
542.237	4.872	16251
547.109	3.003	16397
550.112	5.172	16487
555.284	4.505	16642
559.789	3.871	16777
563.659	3.671	16893
567.330	3.237	17003
570.567	1.435	17100
572.001	1.735	17143
573.737	1.468	17195
575.205	2.403	17239
577.607	2.669	17311
580.277	2.469	17391
582.746	3.170	17465
585.916	2.302	17560
588.219	6.373	17629
594.592	1.702	17820
596.294	5.005	17871
601.299	4.905	18021
606.204	1.001	18168
607.205	1.235	18198
608.440	0.801	18235
609.241	0.801	18259
610.041	1.068	18283
611.109	1.301	18315
612.411	1.668	18354
614.079	1.902	18404
615.981	2.503	18461
618.484	2.970	18536
621.453	7.341	18625
628.795	8.609	18845
637.404	1.802	19103
639.205	2.870	19157
642.075	5.272	19243
647.347	2.202	19401
649.550	2.202	19467
651.752	2.202	19533
653.954	2.202	19599
656.157	2.202	19665
658.359	2.202	19731
660.561	2.202	19797
662.764	2.202	19863
664.966	2.202	19929
667.168	4.338	19995
671.506	1.902	20125
673.408	4.672	20182
678.080	4.672	20322
682.751	3.237	20462
685.988	3.437	20559
689.425	5.406	20662
694.831	2.169	20824
697.000	2.336	20889
699.335	0.701	20959
700.036	15.917	20980
715.953	3.337	21457
719.290	5.339	21557
724.629	11.946	21717
736.575	2.002	22075
738.577	2.970	22135
741.546	8.776	22224
