word	start_time	end_time
To	25.1	25.8
do	25.8	26.0
that.	26.0	26.2
It's	26.2	27.0
Saturday.	27.0	27.9
Come	27.9	29.8
on	29.8	30.1
morning	30.1	31.3
to	31.3	31.5
you.	31.5	31.7
Sunshine	38.1	39.4
is	39.4	39.6
here.	39.6	39.7
I	44.3	44.6
hate	44.6	45.0
this	45.0	45.4
apartment.	45.4	45.5
Pick	47.7	48.0
a	48.0	48.1
color.	48.1	48.4
These	48.4	48.6
walls	48.6	49.3
like	49.3	51.6
bird.	51.6	52.1
Hate	54.2	54.6
that	54.6	54.7
singing	54.7	55.4
guy.	55.4	55.5
I	55.5	57.6
love	57.6	57.8
that	57.8	58.1
guy.	58.1	58.5
I	66.2	66.5
will	66.5	66.8
kill	66.8	67.2
you.	67.2	67.5
Pick	70.4	70.9
up	70.9	71.0
into	71.0	71.2
my	71.2	71.3
room	71.3	71.7
is	71.7	71.8
so	71.8	71.8
small.	71.8	72.1
I	72.1	73.3
need	73.3	74.3
to	74.3	74.4
do	74.4	74.7
what	74.7	74.8
I	74.8	74.9
did,	74.9	75.7
I	75.7	76.0
don't	76.0	76.7
even	76.7	76.8
have	76.8	77.0
a	77.0	77.2
bed.	77.2	77.6
You	77.6	77.8
sleep	77.8	78.0
in	78.0	78.3
a	78.3	78.4
ball	78.4	78.9
on	78.9	79.0
the	79.0	79.1
floor.	79.1	79.3
Now	81.4	81.9
which	81.9	82.1
I'm	82.1	82.4
really	82.4	82.7
tired	82.7	83.2
of	83.2	83.4
your	83.4	83.5
bellyaching,	83.5	83.8
okay?	83.8	84.2
I	84.2	84.4
worked	84.4	84.8
really	84.8	85.0
hard	85.0	85.2
at	85.2	85.4
making	85.4	85.6
us	85.6	85.8
a	85.8	85.8
nice	85.8	86.0
place	86.0	86.3
for	86.3	86.4
us	86.4	86.6
to	86.6	86.6
live.	86.6	86.8
Sorry,	89.0	89.5
I'm	89.5	89.7
sorry.	89.7	89.9
This	91.4	92.1
is	92.1	92.3
a	92.3	92.3
great	92.3	92.6
apartment.	92.6	93.1
Shut	93.1	93.7
the	93.7	93.8
whole	93.8	95.3
I'll	110.0	110.4
buy	110.4	110.6
me.	110.6	110.8
I	110.8	110.9
still	110.9	111.1
can't	111.1	111.4
believe	111.4	111.4
you're	111.4	111.7
gone.	111.7	111.9
Eric.	111.9	112.5
I	112.5	113.3
know,	113.3	113.6
I	113.6	113.8
know	113.8	113.9
who	113.9	114.1
am	114.1	114.4
I	114.4	114.5
I	118.7	118.9
